word	sentence	translation	difficulty_rank
toi	Est-ce à toi ?	Is it yours?	69
toi	Et toi ?	And you?	69
dit	On ne dit plus ça.	We don't say that anymore.	70
dit	Que dit-elle ?	What does she say?	70
dit	Que dit-il ?	What does he say?	70
ai	Je vous ai dit de ne pas faire ça.	I told you not to do that.	70
ai	Je ne vous ai pas tout dit.	I didn't tell you everything.	70
lui	Je le lui ai fait faire.	I made him do so.	71
lui	Je lui ai dit quoi faire.	I told him what to do.	71
lui	Elle est tout pour lui.	She is everything to him.	71
es	Tu es tout pour moi.	You are everything to me.	73
es	Qui es-tu ?	Who are you?	73
es	Je sais qui tu es.	I know who you are.	73
pourquoi	Je sais pourquoi il a fait ça.	I know why he did it.	74
pourquoi	Mais pourquoi ?	But why?	74
pourquoi	Pourquoi est-il ici ?	Why is he here?	74
où	Où es-tu ?	Where are you?	75
où	Est-ce que tu sais où elle est ?	Do you know where she is?	75
où	Sais-tu où elle est  ?	Do you know where she is?	75
là	Je suis là pour toi.	I'm there for you.	76
là	Il est là.	There it is.	76
là	Pourquoi est-elle là ?	Why is she here?	76
rien	Tu ne lui as rien dit ?	You didn't tell him anything?	77
rien	Je ne sais rien.	I don't know anything.	77
rien	En fait, je ne sais rien de lui.	As a matter of fact, I know nothing about him.	77
sont	Pourquoi sont-ils ici ?	Why are they here?	79
ils	Pourquoi sont-ils ici ?	Why are they here?	79
ils	Ils sont là pour moi.	They're here for me.	79
sont	Ils sont là pour moi.	They're here for me.	79
sont	Où sont-ils ?	Where are they?	79
ils	Où sont-ils ?	Where are they?	79
des	Ce ne sont que des on-dit.	It's nothing but hearsay.	79
quand	Quand as-tu dit ça ?	When did you say that?	80
quand	Tu as fait ça quand ?	When did you do this?	80
quand	Je ne sais pas quand.	I don't know when.	80
peux	Tu peux le faire !	You can do it.	81
peux	Oui, je le peux.	Yes, I can.	81
peux	Je ne peux rien faire.	I can't do anything.	81
dire	Je ne sais pas ce que tu veux dire.	I don't know what you mean.	82
dire	Je sais ce que tu veux dire.	I know what you mean.	82
dire	Je ne sais quoi dire.	I don't know what to say.	82
sur	Que peux-tu me dire sur ça ?	What can you tell me about that?	82
des	Ce ne sont que des ouï-dire.	It's nothing but hearsay.	82
avez	Vous avez tout.	You have everything.	84
avez	En avez-vous un ?	Do you have one?	84
avez	Avez-vous tout ?	Do you have everything?	84
vais	Je ne vais pas bien du tout.	I am not well at all.	85
vais	Je vais te le dire.	I am going to tell you that.	85
vais	Je vais bien, et toi ?	I'm fine. How about you?	85
la	Je vais la faire.	I'm going to do it.	85
alors	Et alors ?	So what?	86
alors	Ça alors !	Wow!	86
alors	Oui, et alors ?	Yes, what of it?	86
ton	Je ne veux que ton bien.	I want what's best for you.	87
ton	Tout est de ton fait.	It's all because of you.	87
comment	Comment ça, tu ne sais pas ? !	What do you mean you don't know?!	88
comment	Comment avez-vous fait ?	How did you make it?	88
comment	Comment les veux-tu ?	How do you want them?	88
par	Je le sais par on-dit.	I know it by hearsay.	89
par	Par ici.	This way.	89
par	Par là !	That way!	89
ou	Oui ou non ?	Yes or no?	90
ou	Être ou ne pas être ?	To be or not to be?	90
ou	Tu ne peux pas ou tu ne veux pas ?	You can't or you won't?	90
cette	Cette chose est à toi ?	Is that thing yours?	91
chose	Cette chose est à toi ?	Is that thing yours?	91
bon	Je suis bon.	I am good.	92
bon	Tu es bon.	You are good.	92
bon	Ce qui est bon pour toi est bon pour moi.	What is good for you is good for me.	92
ont	Que vous ont-ils fait ?	What have they done to you?	93
ont	Ont-ils dit comment ?	Did they say how?	93
ont	Ont-ils dit pourquoi ?	Did they say why?	93
merci	« Merci. » « De rien. »	"""Thank you."" ""You're welcome."""	94
merci	Je vais bien, merci. Et vous ?	I'm fine, thank you. And you?	94
merci	Bien, merci. Et vous ?	Fine, thank you. And you?	94
votre	Je suis à votre merci.	I'm at your mercy.	94
juste	Tout juste !	Nice timing.	95
juste	Elle est juste là.	She's right here.	95
juste	Il est juste là.	He's right here.	95
une	Non, juste une.	No, just one.	95
très	Je ne te suis pas très bien.	I don't quite follow you.	96
très	Je le sais très bien.	I know it very well.	96
très	Tout était très bon.	Everything was very good.	96
jamais	« Jamais ! » « Si. »	"""No way!"" ""Way."""	97
jamais	Jamais plus.	Never again.	97
jamais	Que vous ai-je jamais fait ?	What did I ever do to you?	97
été	Où as-tu été ?	Where've you been?	98
été	Où avez-vous été ?	Where've you been?	98
été	Ça a été très bien.	That was very good.	98
aussi	Moi aussi.	So do I.	99
aussi	Tu peux tout aussi bien le dire.	You may as well say so.	99
aussi	Moi aussi !	So am I!	99
avoir	Tu ne peux pas avoir ça.	You can't have this.	100
avoir	Je me suis fait avoir.	I fell for it.	100
avoir	Est-ce que je peux en avoir un aussi ?	Can I have one too?	100
vraiment	Vraiment ?	Really?	101
vraiment	Merci vraiment.	Thank you very much!	101
vraiment	Non, pas vraiment.	No, not really.	101
voir	Je veux te voir.	I want to see you.	102
voir	Il est bon de te voir.	Good to see you.	102
voir	Ça fait du bien de te voir.	Good to see you.	102
même	Je veux le faire moi-même.	I want to do it myself.	103
même	Merci tout de même.	Thank you just the same.	103
même	Je peux le faire moi-même !	I can do it by myself!	103
chose	Je veux la même chose.	I want the same.	103
chose	Il a dit la même chose de vous.	He said the same thing about you.	103
oh	Oh ! Vraiment ?	Oh! Really?	105
oh	Oh, non ! vraiment ?	Oh no, really?	105
oh	Oh la la...	Oh boy...	105
maintenant	Je vais le faire maintenant.	I will do it right now.	106
maintenant	Je vais tout à fait bien maintenant.	I am quite all right now.	106
maintenant	Pas maintenant, alors quand ?	Not now, then when?	106
tous	Un pour tous, tous pour un.	One for all, all for one.	107
tous	Je les ai tous.	I've got them all.	107
tous	Merci à vous tous.	Thanks to all of you.	107
peut	Il a peut-être dit ça.	He may have said so.	108
peut	On ne peut en dire plus.	No more can be said.	108
peut	Peut-être oui, peut-être non...	Maybe, maybe not...	108
deux	Oui, deux.	Yes, two.	109
deux	Pourquoi pas les deux ?	Why not both?	109
deux	Merci à vous deux.	Thanks to both of you.	109
une	En veux-tu une ou deux ?	Do you want one or two?	109
êtes	Vous vous êtes fait avoir.	You've been had.	111
êtes	Et qui êtes-vous au juste ?	And who might you be?	111
êtes	Vous êtes quoi ?	What are you?	111
allez	« Comment allez-vous ? » « Je vais bien, merci. »	"""How are you?"" ""I am fine, thank you."""	112
allez	Comment allez-vous ?	How are you?	112
allez	Allez !	Come on!	112
ta	Je suis à ta merci.	I'm at your mercy.	113
autre	Autre chose ?	Need anything else?	114
autre	Je est un autre.	I is an other.	114
autre	Je veux être avec vous plus que tout autre chose.	I want to be with you more than anything.	114
peu	Je veux juste un peu plus de ça.	I just want a little more of that.	115
peu	Oui, un peu.	Yes, a little.	115
peu	Un peu plus.	A little more.	115
temps	Peux-tu le faire à temps ?	Can you make it on time?	116
temps	Au temps pour moi.	That was my mistake.	116
temps	Il y a un temps pour tout.	There is a time for everything.	116
dans	Tout est dans les temps.	Everything is on schedule.	116
dans	Je sais que je peux le faire dans les temps.	I know I can make it on time.	116
son	Il a fait son temps.	He's had his day.	116
dans	On est dans les temps.	We're making good time.	116
quelque	Tu veux quelque chose ?	Do you want anything?	117
quelque	Est-ce que je peux dire quelque chose ?	May I say something?	117
quelque	Avez-vous quelque chose à dire ?	Do you have anything to say?	117
fais	Fais-le mais maintenant !	Do it right now!	118
fais	Fais comme on te dit de faire.	Do as you are told.	118
fais	Fais comme tu veux.	Do as you want.	118
ton	Je ne le fais que pour ton bien.	I'm only doing this for your own good.	118
votre	Je ne le fais que pour votre bien.	I'm only doing this for your own good.	118
votre	Je ne le fais que pour votre bien à vous.	I'm only doing this for your own good.	118
toujours	Il est toujours avec moi.	He is always with me.	119
toujours	Il dit toujours la même chose.	He always says the same thing.	119
toujours	Il a toujours été bon avec moi.	He's always been kind to me.	119
encore	Encore vous ?	You again?	120
encore	Encore un peu ?	A little more?	120
encore	Ils ne sont pas encore là.	They aren't here yet.	120
notre	On a tout notre temps.	There's plenty of time.	121
notre	On a encore tout notre temps.	We still have plenty of time.	121
besoin	Avez-vous besoin de lui ?	Do you want him?	123
besoin	De quoi as-tu besoin ?	What do you want?	123
besoin	De quoi avez-vous besoin ?	What do you need?	123
avait	Elle a fait comme on lui avait dit.	She did as she was told.	124
avait	Il y en avait un autre.	There was another one.	124
avait	Il y en avait une autre.	There was another one.	124
accord	Un accord est un accord.	A deal is a deal.	125
accord	On avait un accord.	We had a deal.	125
faut	Il faut faire quelque chose !	Something must be done!	126
faut	Il ne faut jamais dire jamais.	Never say never.	126
faut	Il nous faut juste le faire.	We just have to do it.	126
dois	Je dois faire quelque chose.	I have to do something.	127
dois	Je lui dois 100 $.	I owe him $100.	127
dois	Tu dois le faire toi-même.	You must do it yourself.	127
vie	Comment est la vie ?	How's life?	128
ma	Est-ce ma vie ?	Is this my life?	128
vie	Est-ce ma vie ?	Is this my life?	128
vie	Je lui dois la vie.	I owe him my life.	128
ta	Que fais-tu de ta vie ?	What are you doing in your life?	128
ma	Je veux faire quelque chose de ma vie.	I want to do something with my life.	128
ma	Tu es ma vie.	You are my life.	128
aller	Je ne sais pas où aller.	I don't know where to go.	130
aller	Je veux y aller avec toi.	I want to go with you.	130
aller	Je vais y aller.	I'm going to go.	130
fois	Fais-le encore une fois !	Do it again!	131
fois	Fais-le encore une fois.	Try it once again.	131
cette	Pour cette fois ça va.	I'll forgive you just this once.	131
fois	Pour cette fois ça va.	I'll forgive you just this once.	131
cette	Merci pour tout ce que tu as fait pour moi cette fois-là.	Thank you for all you did for me that time.	131
vu	Bien vu !	Well done!	132
vu	As-tu vu ça ?	Did you see that?	132
vu	Avez-vous vu ça ?	Did you see that?	132
donc	Donc qui ?	Then who?	133
donc	Qui donc ?	Then who?	133
donc	Et donc ?	So what?	133
sans	Sans toi je ne suis rien.	Without you I am nothing.	134
sans	Sans vous je ne suis rien.	Without you I am nothing.	134
sans	Sans toi, je ne suis pas bien.	Without you, I am not well.	134
monde	Tout le monde peut le faire.	Anyone can do it.	135
monde	Il faut de tout pour faire un monde.	In our society we find men of integrity along with crooks.	135
monde	Comment va tout le monde ?	How's everybody doing?	135
étais	Où étais-tu donc ?	So where were you?	136
étais	Où étais-tu ?	Where were you?	136
étais	Fais comme si tu étais moi.	Pretend you're me.	136
parce	Je le fais parce que je le dois.	I do it because I have to.	137
parce	« Pourquoi as-tu fait ça ? » « Parce que je peux. »	"""Why did you do it?"" ""Because I can."""	137
parce	« Pourquoi ? » « Parce que ! »	"""Why?"" ""Because!"""	137
avant	Il a fait un pas en avant.	He took a step forward.	138
avant	Fais un pas en avant.	Step forward.	138
avant	Je ne vous ai jamais vu comme ça avant.	I've never seen you like this before.	138
sûr	Est-ce que tu es sûr ?	Are you sure?	139
sûr	Bien sûr !	Definitely!	139
sûr	Es-tu sûr ?	Are you sure?	139
trop	Je ne sais pas trop.	I don't really know.	140
trop	Non, pas trop.	No, not too much.	140
trop	Il y en a trop.	There are too many of them.	140
parler	Je ne fais que parler !	I'm just saying!	141
parler	Est-ce que je peux te parler ?	May I talk to you?	141
parler	Je veux te parler.	I want to talk to you.	141
personne	Allez le voir en personne.	Go and see him in person.	142
personne	Qui est cette personne ?	Who is that person?	142
personne	Cette personne est comme moi.	That person is like me.	142
avais	Avais-tu besoin de moi ?	Did you need me?	143
avais	Tu avais besoin de moi.	You needed me.	143
avais	Tu avais quelque chose à nous dire ?	Did you have something you wanted to tell us?	143
père	Je dois ce que je suis à mon père.	I owe what I am to my father.	144
mon	Je dois ce que je suis à mon père.	I owe what I am to my father.	144
son	Il est un peu comme son père.	He is a bit like his father.	144
père	Il est un peu comme son père.	He is a bit like his father.	144
père	Mon père va bien.	My father is in good health.	144
mon	Mon père va bien.	My father is in good health.	144
mon	Est-ce que tu as vu mon père ?	Did you see my father?	144
son	Sais-tu qui est son père ?	Do you know who her father is?	144
crois	Je ne le crois plus.	I don't believe him any longer.	145
crois	Je crois en lui.	I believe in him.	145
crois	Je te crois.	I believe you.	145
après	Avez-vous quelque chose à faire après ça ?	Do you have anything to do after that?	146
après	Il en a après toi.	He has a grudge against you.	146
après	Tu avais bon après tout.	You were right after all.	146
dieu	Je crois en Dieu.	I believe in God.	148
dieu	Crois-tu en Dieu ?	Do you believe in God?	148
dieu	Oh, mon Dieu !	Oh, my God!	148
ouais	Mais ouais !	Of course!	149
ouais	Ouais.	Yep.	149
ouais	Ouais, et alors ?	Yeah, and?	149
pense	Je ne pense pas, donc je ne suis pas.	I don't think, therefore I am not.	151
pense	Je pense à vous tout le temps.	I think of you all the time.	151
pense	Je le pense aussi.	I think so, too.	151
eu	Je vous ai eu.	I've got you.	152
eu	Elle a eu un A.	She got an A.	152
eu	Il y en a eu un autre.	There was another one.	152
aime	Je vous aime plus que je ne peux dire.	I love you more deeply than I can say.	153
aime	Je vous aime.	I love you.	153
aime	Il aime tout faire lui-même.	He likes to do everything for himself.	153
sa	Il aime sa vie.	He likes his life.	153
leur	Ça ne leur a pas fait du bien.	That didn't do them any good.	154
leur	Je leur ai tout dit.	I told them everything.	154
leur	Je veux leur parler à tous.	I want to talk to all of them.	154
homme	Je vais faire de toi un homme.	I will make a man of you.	155
homme	Je suis juste un autre homme.	I'm just another man.	155
homme	Je suis un homme.	I am a man.	155
viens	Pourquoi ne viens-tu pas nous voir ?	Why don't you come visit us?	156
viens	Pourquoi est-ce que tu ne viens pas avec nous ?	Why aren't you coming with us?	156
viens	« Pourquoi ne viens-tu pas ? » « Parce que je ne veux pas. »	"""Why aren't you going?"" ""Because I don't want to."""	156
vrai	Je crois être dans le vrai.	I believe I am in the right.	157
vrai	Ça ne peut pas être vrai.	That can't be true.	157
vrai	Il ne peut pas être vrai.	It cannot be true.	157
femme	Qui est cette femme ?	Who is that woman?	158
femme	Comment va ta femme ?	How's your wife?	158
ta	Comment va ta femme ?	How's your wife?	158
femme	Où as-tu vu cette femme ?	Where did you see that woman?	158
sa	Est-elle sa femme ?	Is she his wife?	158
ok	Je ne veux pas parler de ça, ok ?	I don't want to talk about that, OK?	159
ok	Oh, OK.	Oh, OK.	159
ok	Oh, ok.	Oh, ok.	159
doit	Ça doit être vrai.	It has to be true.	160
doit	On doit toujours faire ce qui est juste.	You must always do what is right.	160
doit	Elle doit y aller.	She must go there.	160
veut	Elle ne veut pas en parler.	She doesn't want to talk about it.	161
veut	Ça veut rien dire !	It doesn't mean anything!	161
veut	Si Dieu le veut…	God willing...	161
sa	Il fait toujours ce que sa femme veut.	He always does what his wife wants.	161
ans	Il doit avoir plus de 60 ans.	He must be over sixty.	162
ans	Elle a 31 ans.	She is thirty-one.	162
ans	Elle va sur ses 35 ans.	She is going on 35.	162
ses	Elle va sur ses 35 ans.	She is going on 35.	162
mal	Où avez-vous mal ?	Where does it hurt?	164
mal	Est-ce que ça fait mal ?	Does this hurt?	164
mal	« Comment ça va ? » « Pas trop mal. »	"""How's it going?"" ""Not too bad."""	164
chez	Fais comme chez toi.	Please make yourself at home.	165
chez	Tu es chez toi ?	Are you at home?	165
chez	Tu peux aller chez toi maintenant !	You can go home now.	165
déjà	Il a déjà dit oui.	He has already said yes.	166
déjà	Il est déjà là.	He is already here.	166
déjà	Est-elle déjà là ?	Is she here yet?	166
depuis	Depuis quand ?	Since when?	167
beaucoup	Merci beaucoup !	Thank you very much!	168
beaucoup	Avez-vous beaucoup de temps ?	Do you have a lot of time?	168
beaucoup	Merci beaucoup pour tout ce que vous avez fait.	Thank you very much for all you have done.	168
bonne	Vous êtes bonne.	You are good.	170
bonne	Tu es bonne.	You are good.	170
bonne	Elle est bonne.	She's good.	170
mort	Il est mort à 70 ans.	He died at the age of seventy.	171
mort	Il est mort depuis 5 ans.	He has been dead for five years.	171
depuis	Il est mort depuis 5 ans.	He has been dead for five years.	171
mort	Il est comme mort.	He is as good as dead.	171
mieux	Je dois faire de mon mieux.	I gotta try to do my best.	172
mieux	Fais de ton mieux.	Do your very best.	172
mieux	Tout ce que tu dois faire est de faire de ton mieux.	All you have to do is to do your best.	172
notre	On fait de notre mieux.	We do our best.	172
depuis	Depuis que tu es là, je vais mieux.	Ever since you've been here, I feel better.	172
vas	Où vas-tu ?	Where are you going?	173
vas	Comment vas-tu ?	How are you doing?	173
vas	Vas-y.	Go ahead.	173
sera	Peut-être que ce sera la même chose pour lui.	Maybe it will be exactly the same for him.	174
sera	Elle sera là dans peu de temps.	She will be here before long.	174
sera	Ce sera pour moi.	I'll treat you.	174
mère	Comment va votre mère ?	How is your mother?	175
mère	Comment va ta mère ?	How is your mother?	175
mère	Ma mère a deux ans de plus que mon père.	Mother is two years older than Father.	175
dis	À qui le dis-tu !	Tell me about it!	176
dis	Fais comme je te dis.	Do as I tell you.	176
dis	Ne me le dis pas.	Don't tell me.	176
fille	Il avait une fille.	He had one daughter.	177
fille	Qui est cette fille  ?	Who is this girl?	177
fille	Vous êtes une bonne fille.	You are a good person.	177
des	Ce sont des gens.	These are people.	179
gens	Ce sont des gens.	These are people.	179
ces	Qui sont ces gens ?	Who are those people?	179
gens	Qui sont ces gens ?	Who are those people?	179
gens	Je ne sais pas qui sont ces gens.	I don't know who these people are.	179
ces	Je ne sais pas qui sont ces gens.	I don't know who these people are.	179
ces	Qui sont ces gens ?	Who are these people?	179
quel	Quel temps fait-il ?	How's the weather?	180
quel	Quel homme tu es !	What a man you are!	180
quel	Quel temps fait-il ?	How's the weather?	180
vois	Je vois mal.	I have weak sight.	181
vois	Je ne vois rien.	I don't see anything.	181
vois	Je ne le vois pas.	I don't see him.	181
désolé	Je suis désolé mais je ne peux pas.	I'm afraid I can't.	182
désolé	Je suis désolé pour toi.	I am sorry for you.	182
désolé	Désolé.	I'm sorry.	182
voilà	Les voilà.	Here they come.	184
voilà	Nous voilà !	Here we are!	184
voilà	Le voilà.	Here he comes.	184
avons	Nous avons beaucoup à faire.	We have a lot to do.	185
avons	Nous avons beaucoup de temps.	We have a lot of time.	185
avons	Nous avons vraiment eu du bon temps.	We had a really good time.	185
accord	Nous avons un accord.	We have an agreement.	185
petit	Encore un petit peu.	Just a little more.	186
petit	En avez-vous un un peu plus petit ?	Do you have one a little smaller?	186
petit	Le monde est petit.	What a small world!	186
maison	Viens à la maison.	Come to my house.	187
maison	Tout le monde est bien à la maison.	All are well at home.	187
maison	Je vais à la maison maintenant.	I'm going home now.	187
soit	Soit tu vas, soit je vais.	Either you go, or I go.	188
soit	Dieu soit avec nous.	May God be with us.	188
soit	Soit toi soit moi doit y aller.	Either you or I have to go there.	188
cela	Cela fait-il beaucoup mal ?	Does it hurt a lot?	189
cela	Cela peut être vrai.	It may be true.	189
cela	Cela peut être ou ne pas être vrai.	It may or may not be true.	189
autres	Ne dis pas de mal des autres.	Don't say bad things about others.	190
autres	Où sont tous les autres ?	Where are all the others?	190
autres	Ne dis pas du mal des autres.	Don't speak ill of others.	190
toute	Je veux cela plus que toute autre chose.	I want that more than anything.	191
toute	Elle est toute à vous.	She's all yours.	191
toute	Je suis toute à toi.	I'm all yours.	191
soir	Je vais les voir ce soir.	I'm seeing them tonight.	192
soir	Tu fais quoi ce soir ?	What are you going to do this evening?	192
soir	Êtes-vous toujours à la maison le soir ?	Are you always at home in the evening?	192
passé	Où étais-tu passé ?	Where have you been?	193
passé	Ton temps est passé.	Your time is over.	193
passé	Nous avons tous passé du bon temps.	We all had a good time.	193
prendre	Très bien. Je vais le prendre.	All right. I'll take it.	194
prendre	Peux-tu le prendre ?	Can you pick it up?	194
prendre	Tu peux prendre ce que tu veux.	You may take anything you like.	194
jour	Encore un jour de passé.	Another day gone by.	195
jour	Elle va mieux de jour en jour.	She is getting better day by day.	195
jour	Je vais vous en parler un jour.	I'll tell you about it someday.	195
monsieur	Je suis juste un monsieur tout-le-monde.	I am just a nobody.	196
monsieur	Qui est ce monsieur ?	Who is that gentleman?	196
monsieur	Merci, Monsieur.	Thank you, sir.	196
savoir	Je veux vraiment savoir.	I really want to know.	198
savoir	Je veux aussi savoir !	I also want to know!	198
savoir	Personne ne peut tout savoir.	No one can know everything.	198
choses	Il y a trop de choses à faire !	There are too many things to do!	199
choses	Ne fais pas deux choses en même temps.	Don't do two things at a time.	199
choses	Je ne peux pas faire deux choses à la fois.	I can't do two things at a time.	199
salut	Salut ! Comment ça va ?	Hi! How are you?	200
salut	Salut tout le monde !	Hi, everybody!	200
salut	Salut !	Hello!	200
cet	Je ne sais pas qui est cet homme.	I don't know who that man is.	201
cet	Où veux-tu aller cet été ?	Where do you want to go this summer?	201
cet	Qui est cet homme ?	Who is that man?	201
nom	Je sais quel est son nom.	I know what his name is.	202
nom	Quel est votre nom ?	What is your name?	202
nom	Il y a mon nom sur ça.	It has my name on it.	202
argent	Personne ne veut jamais être sans argent.	Nobody ever wants to be without money.	203
argent	Pourquoi avez-vous besoin de cet argent ?	What do you need the money for?	203
argent	As-tu quelque argent ?	Do you have some money?	203
bonjour	Bonjour, comment allez-vous ?	Hello, how are you?	204
bonjour	Bonjour tout le monde.	Good morning, everybody.	204
bonjour	"Il me dit toujours ""Bonjour"" quand je le vois."	"He always says ""Hello"" when I see him."	204
nuit	Bonne nuit !	Good night!	205
nuit	Je lui dis bonne nuit.	I bade good night to her.	205
nuit	Bonne nuit tout le monde !	Good night, everyone!	205
raison	Tu as raison.	You're right.	206
raison	Sa mère avait raison.	His mother was right.	206
raison	Tu as peut-être raison.	You may be right.	206
