word,definition,definition_ru,definition_ar,definition_es,definition_pt,reading,pos,level,level_source,frequency_rank,alternatives,root,form,gender,aspect,aspect_partner,acc,gen,prep,dat,inst
서른,thirty (pure Korean),,,,,seoreun,noun,A1,,,,,,,,,,,,,
마흔,forty (pure Korean),,,,,maheun,noun,A1,,,,,,,,,,,,,
쉰,fifty (pure Korean),,,,,swin,noun,A2,,,,,,,,,,,,,
예순,sixty (pure Korean),,,,,yesun,noun,B1,,,,,,,,,,,,,
일,day (counter); date of the month; (alone) work,,,,,il,noun,A1,,,,,,,,,,,,,
삼,three (Sino-Korean),,,,,sam,noun,A1,,,,,,,,,,,,,
사,four (Sino-Korean),,,,,sa,noun,A1,,,,,,,,,,,,,
오,five (Sino-Korean),,,,,o,noun,A1,,,,,,,,,,,,,
육,six (Sino-Korean),,,,,yuk,noun,A1,,,,,,,,,,,,,
칠,seven (Sino-Korean),,,,,chil,noun,A1,,,,,,,,,,,,,
팔,eight (Sino-Korean),,,,,pal,noun,A1,,,,,,,,,,,,,
구,nine (Sino-Korean),,,,,gu,noun,A1,,,,,,,,,,,,,
십,ten (Sino-Korean),,,,,sip,noun,A1,,,,,,,,,,,,,
백,one hundred,,,,,baek,noun,A1,,,,,,,,,,,,,
천,one thousand,,,,,cheon,noun,A1,,,,,,,,,,,,,
만,ten thousand,,,,,man,noun,A1,,,,,,,,,,,,,
영,"zero (in scores, temperature, mathematics)",,,,,yeong,noun,A1,,,,,,,,,,,,,
공,zero (in phone numbers),,,,,gong,noun,A1,,,,,,,,,,,,,
번,counter for times/occurrences,,,,,beon,noun,A1,,,,,,,,,,,,,
번째,"-th (ordinal counter: first, second, third…)",,,,,beonjjae,noun,A1,,,,,,,,,,,,,
명,counter for people,,,,,myeong,noun,A1,,,,,,,,,,,,,
대,counter for vehicles and machines,,,,,dae,noun,A2,,,,,,,,,,,,,
잔,counter for cups/glasses (of a drink),,,,,jan,noun,A1,,,,,,,,,,,,,
살,counter for years of age,,,,,sal,noun,A1,,,,,,,,,,,,,
처음,the first time; the beginning; at first,,,,,cheoeum,noun,A1,,,,,,,,,,,,,
마지막,"the last, the final (one in a sequence)",,,,,majimak,noun,A1,,,,,,,,,,,,,
첫 번째,first (1st),,,,,cheot beonjjae,noun,A1,,,,,,,,,,,,,
두 번째,second (2nd),,,,,du beonjjae,noun,A1,,,,,,,,,,,,,
분,minute,,,,,bun,noun,A1,,,,,,,,,,,,,
초,second (unit of time),,,,,cho,noun,A1,,,,,,,,,,,,,
시,"o'clock, hour (on a clock)",,,,,si,noun,A1,,,,,,,,,,,,,
첫,first (used before a noun),,,,,cheot,adj,A2,,,,,,,,,,,,,
첫째,first (one); one's first child; firstly,,,,,cheotjjae,noun,A2,,,,,,,,,,,,,
둘째,second (one); one's second child; secondly,,,,,duljjae,noun,A2,,,,,,,,,,,,,
셋째,third (one); one's third child; thirdly,,,,,setjjae,noun,A2,,,,,,,,,,,,,
넷째,fourth (one); one's fourth child,,,,,netjjae,noun,A2,,,,,,,,,,,,,
시간,hour(s) (a duration); time,,,,,sigan,noun,A1,,,,,,,,,,,,,
나이,age,,,,,nai,noun,A1,,,,,,,,,,,,,
몇,"how many; a few, some",,,,,myeot,adj,A1,,,,,,,,,,,,,
지난,"last, previous",,,,,jinan,adj,A2,,,,,,,,,,,,,
다음,next; after,,,,,daeum,noun,A1,,,,,,,,,,,,,
동안,for (a length of time); during (after a noun),,,,,dongan,noun,A1,,,,,,,,,,,,,
달,month (native Korean word),,,,,dal,noun,A1,,,,,,,,,,,,,
개월,"month (counter, Sino-Korean)",,,,,gaewol,noun,A2,,,,,,,,,,,,,
월,"month of the calendar (January = 1월, etc.)",,,,,wol,noun,A1,,,,,,,,,,,,,
날,day,,,,,nal,noun,A1,,,,,,,,,,,,,
첫날,the first day,,,,,cheonnal,noun,A2,,,,,,,,,,,,,
하루,one day,,,,,haru,noun,A1,,,,,,,,,,,,,
이틀,two days,,,,,iteul,noun,A1,,,,,,,,,,,,,
사흘,three days,,,,,saheul,noun,A2,,,,,,,,,,,,,
주,week,,,,,ju,noun,A1,,,,,,,,,,,,,
주일,week (counter),,,,,juil,noun,A2,,,,,,,,,,,,,
지난 주,last week,,,,,jinan ju,noun,A1,,,,,,,,,,,,,
지난 달,last month,,,,,jinan dal,noun,A1,,,,,,,,,,,,,
이번 주,this week,,,,,ibeon ju,noun,A1,,,,,,,,,,,,,
이번 달,this month,,,,,ibeon dal,noun,A1,,,,,,,,,,,,,
다음 주,next week,,,,,daeum ju,noun,A1,,,,,,,,,,,,,
다음 달,next month,,,,,daeum dal,noun,A1,,,,,,,,,,,,,
작년,last year,,,,,jangnyeon,noun,A1,,,,,,,,,,,,,
올해,this year,,,,,olhae,noun,A1,,,,,,,,,,,,,
내년,next year,,,,,naenyeon,noun,A1,,,,,,,,,,,,,
평생,one's whole life,,,,,pyeongsaeng,noun,B1,,,,,,,,,,,,,
보통,usually,,,,,botong,adv,A1,,,,,,,,,,,,,
달리다,to run,,,,,dallida,verb,A1,,,,,,,,,,,,,
요리하다,to cook,,,,,yorihada,verb,A1,,,,,,,,,,,,,
운전하다,to drive,,,,,unjeonhada,verb,A1,,,,,,,,,,,,,
죽다,to die,,,,,jukda,verb,A1,,,,,,,,,,,,,
듣다,"to listen, to hear; to attend/take (a class)",,,,,deutda,verb,A1,,,,,,,,,,,,,
기회,"chance, opportunity",,,,,gihoe,noun,A2,,,,,,,,,,,,,
계획,plan(s),,,,,gyehoek,noun,A2,,,,,,,,,,,,,
회사원,office worker,,,,,hoesawon,noun,A2,,,,,,,,,,,,,
요리사,"cook, chef",,,,,yorisa,noun,A2,,,,,,,,,,,,,
운전사,driver,,,,,unjeonsa,noun,A2,,,,,,,,,,,,,
수업,"class, lesson",,,,,sueop,noun,A1,,,,,,,,,,,,,
두렵다,"to be scared, to be afraid",,,,,duryeopda,adj,A2,,,,,,,,,,,,,
이상하다,"to be strange, weird",,,,,isanghada,adj,A2,,,,,,,,,,,,,
총선,general election,,,,,chongseon,noun,B2,,,,,,,,,,,,,
현충일,Memorial Day (Korean holiday),,,,,hyeonchungil,noun,B1,,,,,,,,,,,,,
일월,January (1월),,,,,irwol,noun,A1,,,,,,,,,,,,,
이월,February (2월),,,,,iwol,noun,A1,,,,,,,,,,,,,
삼월,March (3월),,,,,samwol,noun,A1,,,,,,,,,,,,,
사월,April (4월),,,,,sawol,noun,A1,,,,,,,,,,,,,
오월,May (5월),,,,,owol,noun,A1,,,,,,,,,,,,,
유월,June (6월),,,,,yuwol,noun,A1,,,,,,,,,,,,,
칠월,July (7월),,,,,chirwol,noun,A1,,,,,,,,,,,,,
팔월,August (8월),,,,,parwol,noun,A1,,,,,,,,,,,,,
구월,September (9월),,,,,guwol,noun,A1,,,,,,,,,,,,,
시월,October (10월),,,,,siwol,noun,A1,,,,,,,,,,,,,
십일월,November (11월),,,,,sibirwol,noun,A1,,,,,,,,,,,,,
십이월,December (12월),,,,,sibiwol,noun,A1,,,,,,,,,,,,,
잠,sleep,,,,,jam,noun,A2,,,,,,,,,,,,,
모자,hat,,,,,moja,noun,A1,,,,,,,,,,,,,
줄,"line, string, rope, queue",,,,,jul,noun,A2,,,,,,,,,,,,,
감기,a cold (illness),,,,,gamgi,noun,A2,,,,,,,,,,,,,
기침,a cough,,,,,gichim,noun,A2,,,,,,,,,,,,,
설사,diarrhea,,,,,seolsa,noun,B1,,,,,,,,,,,,,
독감,the flu,,,,,dokgam,noun,B1,,,,,,,,,,,,,
재채기,a sneeze,,,,,jaechaegi,noun,B1,,,,,,,,,,,,,
동아리,a club in school or university,,,,,dongari,noun,A2,,,,,,,,,,,,,
취미,hobby,,,,,chwimi,noun,A1,,,,,,,,,,,,,
수학,math,,,,,suhak,noun,A1,,,,,,,,,,,,,
가족,family,,,,,gajok,noun,A1,,,,,,,,,,,,,
실력,"skill, ability",,,,,sillyeok,noun,B1,,,,,,,,,,,,,
사촌,cousin,,,,,sachon,noun,A2,,,,,,,,,,,,,
삶,life,,,,,sam,noun,B1,,,,,,,,,,,,,
맥주,beer,,,,,maekju,noun,A1,,,,,,,,,,,,,
과거,the past,,,,,gwageo,noun,B1,,,,,,,,,,,,,
마음,"one's heart, one's mind",,,,,maeum,noun,A2,,,,,,,,,,,,,
그림,"picture, painting",,,,,geurim,noun,A1,,,,,,,,,,,,,
속,the inside,,,,,sok,noun,A2,,,,,,,,,,,,,
똑같다,to be exactly the same,,,,,ttokgatda,adj,A2,,,,,,,,,,,,,
자랑스럽다,to be proud (of),,,,,jarangseureopda,adj,B1,,,,자랑,,,,,,,,,
또 다르다,"another, yet another (different)",,,,,tto dareuda,adj,B1,,,,,,,,,,,,,
시끄럽다,"to be noisy, to be loud",,,,,sikkeureopda,adj,A2,,,,,,,,,,,,,
흔하다,to be common,,,,,heunhada,adj,B1,,,,,,,,,,,,,
드물다,to be rare,,,,,deumulda,adj,B1,,,,,,,,,,,,,
들다,"to lift, to carry, to hold",,,,,deulda,verb,A2,,,,,,,,,,,,,
가져오다,to bring an object (toward the point of reference),,,,,gajyeooda,verb,A2,,,,가지다 + 오다,,,,,,,,,
가져가다,to take an object (away from the point of reference),,,,,gajyeogada,verb,A2,,,,가지다 + 가다,,,,,,,,,
돌리다,"to turn (something), to run a machine",,,,,dollida,verb,B1,,,,,,,,,,,,,
돌다,"to turn oneself, to rotate, to spin",,,,,dolda,verb,A2,,,,,,,,,,,,,
돌아보다,"to look back, to turn around and see",,,,,doraboda,verb,B1,,,,돌다 + 보다,,,,,,,,,
돌아가다,"to return, to go back",,,,,doragada,verb,A2,,,,돌다 + 가다,,,,,,,,,
돌아오다,"to return, to come back",,,,,doraoda,verb,A2,,,,돌다 + 오다,,,,,,,,,
돌려주다,"to give back, to return something",,,,,dollyeojuda,verb,A2,,,,돌리다 + 주다,,,,,,,,,
자랑하다,"to show off, to boast",,,,,jaranghada,verb,B1,,,,,,,,,,,,,
걸다,to hang (something),,,,,geolda,verb,A2,,,,,,,,,,,,,
주문하다,to order,,,,,jumunhada,verb,A1,,,,주문,,,,,,,,,
결혼하다,to marry,,,,,gyeolhonhada,verb,A1,,,,결혼,,,,,,,,,
부르다,to call out,,,,,bureuda,verb,A2,,,,,,,,,,,,,
고르다,"to choose, to pick",,,,,goreuda,verb,A2,,,,고르,,,,,,,,,
넣다,to put in,,,,,neota,verb,A2,,,,,,,,,,,,,
경험하다,to experience,,,,,gyeongheomhada,verb,B1,,,,,,,,,,,,,
설명하다,to explain,,,,,seolmyeonghada,verb,A2,,,,,,,,,,,,,
걸리다,to be hanging; to be caught/stuck/trapped; to take (an amount of time); to catch (a cold/sickness),,,,,geollida,verb,A2,,,,,,,,,,,,,
아마도,"maybe, probably, might",,,,,amado,adv,A2,,,,,,,,,,,,,
켜다,to turn on (a device),,,,,kyeoda,verb,A1,,,,,,,,,,,,,
켜지다,to be turned on,,,,,kyeojida,verb,A2,,,,,,,,,,,,,
끄다,to turn off (a device),,,,,kkeuda,verb,A1,,,,,,,,,,,,,
꺼지다,to be turned off,,,,,kkeojida,verb,A2,,,,,,,,,,,,,
잠기다,to be locked,,,,,jamgida,verb,A2,,,,,,,,,,,,,
닫다,to close (something),,,,,datda,verb,A1,,,,,,,,,,,,,
닫히다,"to be closed, to close (by itself)",,,,,dachida,verb,A2,,,,,,,,,,,,,
속이다,"to trick somebody, to deceive",,,,,sogida,verb,B1,,,,,,,,,,,,,
속다,"to be tricked, to be deceived",,,,,sokda,verb,B1,,,,,,,,,,,,,
끝내다,to finish (something),,,,,kkeunnaeda,verb,A2,,,,,,,,,,,,,
끝나다,"to be finished, to end",,,,,kkeunnada,verb,A2,,,,,,,,,,,,,
고장 내다,to break (something),,,,,gojang naeda,verb,A2,,,,,,,,,,,,,
고장 나다,to be broken (of a machine),,,,,gojang nada,verb,A2,,,,,,,,,,,,,
나다,for something to come up / arise / occur,,,,,nada,verb,A2,,,,,,,,,,,,,
내다,to make something come up / arise / occur,,,,,naeda,verb,A2,,,,,,,,,,,,,
어긋나다,to be out of step with something,,,,,eogeutnada,verb,C1,,,,,,,,,,,,,
기억,memory,,,,,gieok,noun,A2,,,,,,,,,,,,,
생각,"thought, opinion",,,,,saenggak,noun,A1,,,,,,,,,,,,,
냄새,"smell, odor",,,,,naemsae,noun,A2,,,,,,,,,,,,,
소리,sound,,,,,sori,noun,A2,,,,,,,,,,,,,
화,"anger, rage",,,,,hwa,noun,A2,,,,,,,,,,,,,
사고,accident,,,,,sago,noun,A2,,,,,,,,,,,,,
땀,sweat,,,,,ttam,noun,A2,,,,,,,,,,,,,
전쟁,war,,,,,jeonjaeng,noun,B1,,,,,,,,,,,,,
멀미,motion sickness,,,,,meolmi,noun,B1,,,,,,,,,,,,,
주다,to give,,,,,juda,verb,A1,,,,,,,,,,,,,
주어지다,to be given,,,,,jueojida,verb,B1,,,,주 + 어 + 지다,,,,,,,,,
지어지다,to be built,,,,,jieojida,verb,B1,,,,짓 + 어 + 지다,,,,,,,,,
그립다,to miss (something other than a person),,,,,geuripda,adj,B1,,,,,,,,,,,,,
싫다,"to be not good, to be disliked; (with ~이/가) to not like",,,,,silta,adj,A1,,,,,,,,,,,,,
좋아하다,to like,,,,,joahada,verb,A1,,,,좋 + 아하다,,,,,,,,,
싫어하다,to dislike,,,,,sireohada,verb,A1,,,,싫 + 어하다,,,,,,,,,
부끄럽다,"to be shy, embarrassed",,,,,bukkeureopda,adj,B1,,,,,,,,,,,,,
부끄러워하다,to be/act shy (verb form),,,,,bukkeureowohada,verb,B1,,,,부끄럽 + 어하다,,,,,,,,,
부럽다,to be envious,,,,,bureopda,adj,B1,,,,,,,,,,,,,
부러워하다,to envy (verb form),,,,,bureowohada,verb,B1,,,,부럽 + 어하다,,,,,,,,,
말,"words, speech",,,,,mal,noun,A1,,,,,,,,,,,,,
주문,an order,,,,,jumun,noun,A2,,,,,,,,,,,,,
결혼,marriage,,,,,gyeolhon,noun,A2,,,,,,,,,,,,,
존경,respect,,,,,jongyeong,noun,B1,,,,,,,,,,,,,
존경하다,to respect,,,,,jongyeonghada,verb,B1,,,,,,,,,,,,,
가지다,"to have, to possess",,,,,gajida,verb,A2,,,,,,,,,,,,,
들어가다,to go into something,,,,,deureogada,verb,A1,,,,들다 + 가다,,,,,,,,,
들어오다,to come into something,,,,,deureooda,verb,A1,,,,들다 + 오다,,,,,,,,,
나가다,to go out of something,,,,,nagada,verb,A1,,,,나다 + 가다,,,,,,,,,
나오다,to come out of something,,,,,naoda,verb,A1,,,,나다 + 오다,,,,,,,,,
큰일,"a big deal, a serious matter",,,,,keunil,noun,B1,,,,,,,,,,,,,
비슷하다,to be similar,,,,,biseutada,adj,A2,,,,,,,,,,,,,
같다,to be the same,,,,,gatda,adj,A1,,,,,,,,,,,,,
또,again; (in 또 다르다) another,,,,,tto,adv,A1,,,,,,,,,,,,,
쓰다,to write; to use; to wear (a hat),,,,,sseuda,verb,A1,,,,,,,,,,,,,
아프다,to be sick; to be sore/to hurt,,,,,apeuda,adj,A1,,,,,,,,,,,,,
경제,economy; economics,,,,,gyeongje,noun,B1,,,,,,,,,,,,,
경제적,economical; financial,,,,,gyeongjejeok,noun,B1,,,,,,,,,,,,,
역사,history,,,,,yeoksa,noun,A2,,,,,,,,,,,,,
역사적,historical,,,,,yeoksajeok,noun,B1,,,,,,,,,,,,,
과학,science,,,,,gwahak,noun,A2,,,,,,,,,,,,,
과학적,scientific,,,,,gwahakjeok,noun,B1,,,,,,,,,,,,,
충동,impulse; shock,,,,,chungdong,noun,B1,,,,,,,,,,,,,
충동적,impulsive,,,,,chungdongjeok,noun,B1,,,,,,,,,,,,,
문화,culture,,,,,munhwa,noun,A2,,,,,,,,,,,,,
문화적,cultural,,,,,munhwajeok,noun,B1,,,,,,,,,,,,,
민주,democracy,,,,,minju,noun,B1,,,,,,,,,,,,,
민주적,democratic,,,,,minjujeok,noun,B1,,,,,,,,,,,,,
개인,individual; personal,,,,,gaein,noun,B1,,,,,,,,,,,,,
개인적,individual; personal,,,,,gaeinjeok,noun,B1,,,,,,,,,,,,,
자연,nature,,,,,jayeon,noun,A2,,,,,,,,,,,,,
자연스럽다,to be natural,,,,,jayeonseureopda,adj,B1,,,,자연,,,,,,,,,
실망,disappointment,,,,,silmang,noun,B1,,,,,,,,,,,,,
실망하다,to be disappointed,,,,,silmanghada,verb,B1,,,,,,,,,,,,,
실망스럽다,to be disappointing,,,,,silmangseureopda,adj,B1,,,,실망,,,,,,,,,
사랑,love (사랑하다 = to love),,,,,sarang,noun,A1,,,,,,,,,,,,,
사랑스럽다,"to be lovely, loveable",,,,,sarangseureopda,adj,B1,,,,사랑,,,,,,,,,
만족,satisfaction,,,,,manjok,noun,B1,,,,,,,,,,,,,
만족스럽다,"to be satisfactory, satisfying",,,,,manjokseureopda,adj,B1,,,,만족,,,,,,,,,
조금,a little bit,,,,,jogeum,adv,A1,,,,,,,,,,,,,
그러나,but; however,,,,,geureona,conjunction,B1,,,,,,,,,,,,,
관계,"relationship, relation",,,,,gwangye,noun,B1,,,,,,,,,,,,,
스트레스,stress,,,,,seuteureseu,noun,A2,,,,,,,,,,,,,
연필,pencil,,,,,yeonpil,noun,A1,,,,,,,,,,,,,
색깔,color,,,,,saekkkal,noun,A1,,,,,,,,,,,,,
그녀,"she, her",,,,,geunyeo,pronoun,A2,,,,,,,,,,,,,
결과,"result, outcome",,,,,gyeolgwa,noun,B1,,,,,,,,,,,,,
꿈,a dream,,,,,kkum,noun,A2,,,,,,,,,,,,,
세상,world,,,,,sesang,noun,A2,,,,,,,,,,,,,
세계,world,,,,,segye,noun,A2,,,,,,,,,,,,,
회화,conversation,,,,,hoehwa,noun,B1,,,,,,,,,,,,,
문자,text message,,,,,munja,noun,A2,,,,,,,,,,,,,
가슴,chest,,,,,gaseum,noun,A2,,,,,,,,,,,,,
제목,"title (of a book, etc.)",,,,,jemok,noun,A2,,,,,,,,,,,,,
근처,vicinity; something close by,,,,,geuncheo,noun,A2,,,,,,,,,,,,,
나중,later,,,,,najung,noun,A2,,,,,,,,,,,,,
최근,recent times,,,,,choegeun,noun,B1,,,,,,,,,,,,,
